W,H,rP,cv_final,log1p_cv,otsu,percentil,mad,kmeans,gmm,probabilidade_alta_gmm
2,0.50,0.1,0.01762441389,0.01747090495,baixa,baixa,baixa,baixa,baixa,0.03153741588
2,0.50,0.11,0.02175752356,0.02152420684,baixa,baixa,baixa,baixa,baixa,0.02917453334
2,0.50,0.12,0.01258474829,0.01250621851,baixa,baixa,baixa,baixa,baixa,0.03518810442
2,0.50,0.14,0.02364268829,0.02336752851,baixa,baixa,baixa,baixa,baixa,0.02825701807
2,0.50,0.16,0.02726004314,0.02689510545,baixa,baixa,baixa,baixa,baixa,0.02674267428
2,0.50,0.17,0.02327076903,0.02300413331,baixa,baixa,baixa,baixa,baixa,0.02843069723
2,0.50,0.18,0.0367069227,0.03604926895,baixa,baixa,baixa,baixa,baixa,0.02406498622
2,0.50,0.2,0.0249359994,0.02463017103,baixa,baixa,baixa,baixa,baixa,0.02767995788
2,0.50,0.22,0.04221214438,0.04134551607,baixa,baixa,baixa,baixa,baixa,0.02320892711
2,0.50,0.25,0.05803130568,0.05640992249,baixa,baixa,baixa,baixa,baixa,0.02313658597
2,0.50,0.3,0.07262313749,0.07010717874,baixa,baixa,baixa,baixa,baixa,0.02622639433
2,0.50,0.35,0.07772068925,0.07484833803,baixa,baixa,baixa,baixa,baixa,0.02817437377
2,0.50,0.38,0.0695267621,0.06721627223,baixa,baixa,baixa,baixa,baixa,0.02528437254
2,0.50,0.385,0.07360483463,0.07102199042,baixa,baixa,baixa,baixa,baixa,0.02656155779
2,0.50,0.395,0.06765089854,0.06546081308,baixa,baixa,baixa,baixa,baixa,0.02479422131
2,0.50,0.4,0.07038272396,0.06801627047,baixa,baixa,baixa,baixa,baixa,0.02552782341
2,0.50,0.41,0.07238222204,0.06988254951,baixa,baixa,baixa,baixa,baixa,0.02614690146
2,0.50,0.415,0.5648134914,0.4477666421,alta,baixa,alta,alta,alta,1
2,0.50,0.42,0.91585801,0.6501655693,alta,baixa,alta,alta,alta,1
2,0.50,0.43,1.371583149,0.8635577273,alta,alta,alta,alta,alta,1
2,0.50,0.435,0.9165555598,0.6505295957,alta,baixa,alta,alta,alta,1
2,0.50,0.44,0.9141367666,0.6492667464,alta,baixa,alta,alta,alta,1
2,0.50,0.45,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
2,0.50,0.455,1.371709145,0.8636108534,alta,alta,alta,alta,alta,1
2,0.50,0.46,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
2,0.50,0.47,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
2,0.50,0.48,0,0,baixa,baixa,baixa,baixa,baixa,0.04959952211
2,0.50,0.49,0,0,baixa,baixa,baixa,baixa,baixa,0.04959952211
2,0.50,0.5,0,0,baixa,baixa,baixa,baixa,baixa,0.04959952211
2,0.99,0.01,0.007685943851,0.007656557464,baixa,baixa,baixa,baixa,baixa,0.0397470192
2,0.99,0.03,0.05327591039,0.05190522199,baixa,baixa,baixa,baixa,baixa,0.02280191281
2,0.99,0.032,0.06024951872,0.05850427545,baixa,baixa,baixa,baixa,baixa,0.02339894161
2,0.99,0.035,0.05759353262,0.05599607495,baixa,baixa,baixa,baixa,baixa,0.02309289568
2,0.99,0.037,0.05579552232,0.05429453236,baixa,baixa,baixa,baixa,baixa,0.02294100688
2,0.99,0.04,0.0454801537,0.04447625711,baixa,baixa,baixa,baixa,baixa,0.02291316714
2,0.99,0.042,0.04781915409,0.04671100812,baixa,baixa,baixa,baixa,baixa,0.02279323235
2,0.99,0.045,0.04814396415,0.04702094684,baixa,baixa,baixa,baixa,baixa,0.02278250408
2,0.99,0.047,0.04899028666,0.04782806975,baixa,baixa,baixa,baixa,baixa,0.02276127865
2,0.99,0.05,0.04867736349,0.04752971632,baixa,baixa,baixa,baixa,baixa,0.02276799567
2,0.99,0.052,0.04411442637,0.04316908726,baixa,baixa,baixa,baixa,baixa,0.02301831481
2,0.99,0.055,0.04130853869,0.04047813255,baixa,baixa,baixa,baixa,baixa,0.02331785874
2,0.99,0.057,0.04115435298,0.0403300524,baixa,baixa,baixa,baixa,baixa,0.02333764877
2,0.99,0.06,0.04319311195,0.04228630936,baixa,baixa,baixa,baixa,baixa,0.02310414304
2,0.99,0.065,0.04050118238,0.03970250321,baixa,baixa,baixa,baixa,baixa,0.02342541351
2,0.99,0.07,0.0452519379,0.04425794526,baixa,baixa,baixa,baixa,baixa,0.02292891862
2,0.99,0.075,0.03807148794,0.03736465322,baixa,baixa,baixa,baixa,baixa,0.02380890743
2,0.99,0.08,0.03702605984,0.03635705896,baixa,baixa,baixa,baixa,baixa,0.02400240221
2,0.99,0.1,0.04573502771,0.04472001396,baixa,baixa,baixa,baixa,baixa,0.02289643287
2,0.99,0.11,0.04899960914,0.04783695681,baixa,baixa,baixa,baixa,baixa,0.02276109886
2,0.99,0.12,0.04783382514,0.04672500953,baixa,baixa,baixa,baixa,baixa,0.02279271681
2,0.99,0.14,0.05227497322,0.05095446154,baixa,baixa,baixa,baixa,baixa,0.02277035508
2,0.99,0.16,0.05480718346,0.05335798573,baixa,baixa,baixa,baixa,baixa,0.02287623915
2,0.99,0.17,0.07057819015,0.06819886715,baixa,baixa,baixa,baixa,baixa,0.02558520151
2,0.99,0.18,0.04951208104,0.04832537144,baixa,baixa,baixa,baixa,baixa,0.02275302176
2,0.99,0.2,0.05751070222,0.05591775219,baixa,baixa,baixa,baixa,baixa,0.02308492615
2,0.99,0.22,0.05205647397,0.05074679536,baixa,baixa,baixa,baixa,baixa,0.02276525322
2,0.99,0.25,0.07586434084,0.07312437651,baixa,baixa,baixa,baixa,baixa,0.02740402792
2,0.99,0.3,0.07084661899,0.06844956832,baixa,baixa,baixa,baixa,baixa,0.02566509116
2,0.99,0.35,0.08874749152,0.08502794518,baixa,baixa,baixa,baixa,baixa,0.0344907737
2,0.99,0.38,0.06718514373,0.06502447529,baixa,baixa,baixa,baixa,baixa,0.02468151224
2,0.99,0.385,0.06965946203,0.06734033804,baixa,baixa,baixa,baixa,baixa,0.02532128837
2,0.99,0.395,0.09106926217,0.08715818987,baixa,baixa,baixa,baixa,baixa,0.03628045878
2,0.99,0.4,0.07401611465,0.07140500031,baixa,baixa,baixa,baixa,baixa,0.02670742708
2,0.99,0.41,0.08399458671,0.0806529092,baixa,baixa,baixa,baixa,baixa,0.03136562725
2,0.99,0.415,0.06266189014,0.0607769774,baixa,baixa,baixa,baixa,baixa,0.02376361488
2,0.99,0.42,0.08216591332,0.07896450815,baixa,baixa,baixa,baixa,baixa,0.03033464522
2,0.99,0.43,0.9200990323,0.652376764,alta,baixa,alta,alta,alta,1
2,0.99,0.435,0.568933274,0.4503959451,alta,baixa,alta,alta,alta,1
2,0.99,0.44,0.08673900841,0.08318147665,baixa,baixa,baixa,baixa,baixa,0.03308690975
2,0.99,0.45,0.08297957727,0.07971611028,baixa,baixa,baixa,baixa,baixa,0.03078246695
2,0.99,0.455,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
2,0.99,0.46,0.9174081569,0.6509743558,alta,baixa,alta,alta,alta,1
2,0.99,0.47,0.9180416165,0.6513046741,alta,baixa,alta,alta,alta,1
2,0.99,0.48,1.374970815,0.864985149,alta,alta,alta,alta,alta,1
2,0.99,0.49,0.565633632,0.4482906187,alta,baixa,alta,alta,alta,1
2,0.99,0.5,2.236067977,1.174359006,alta,alta,alta,alta,alta,1
3,0.01,0.01,0.01247171228,0.01239458112,baixa,baixa,baixa,baixa,baixa,0.03528114293
3,0.01,0.03,0.01626946215,0.01613853265,baixa,baixa,baixa,baixa,baixa,0.03242884442
3,0.01,0.032,0.02174192982,0.02150894504,baixa,baixa,baixa,baixa,baixa,0.02918251735
3,0.01,0.035,0.02009845509,0.01989914724,baixa,baixa,baixa,baixa,baixa,0.03006210246
3,0.01,0.037,0.01594734119,0.01582151827,baixa,baixa,baixa,baixa,baixa,0.03265001317
3,0.01,0.04,0.01916158931,0.01898031803,baixa,baixa,baixa,baixa,baixa,0.03059858945
3,0.01,0.042,0.0220754225,0.02183528798,baixa,baixa,baixa,baixa,baixa,0.02901321043
3,0.01,0.045,0.02194093587,0.02170369742,baixa,baixa,baixa,baixa,baixa,0.02908112334
